sample_lib,Block,Input Conc.,captured_lib,Bait,sequencing_lib,sequencing_run,fastq_file,fastq_path,bam_bai_file,bam_file,bam_bai_file_path,bam_file_path,matching_normal_sl,area_type
1927_MIS,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1927_MIS.bai': ''},{'1927_MIS.bam': 'd63c2312c074da81a2f19c35c792fe71'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1927_MIS/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1927_MIS/v1,1958_Normal,MIS
1928_Nevus,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1928_Nevus.bai': ''},{'1928_Nevus.bam': 'd48f1396b4760cabb6878e0f93d33eca'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1928_Nevus/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1928_Nevus/v1,1958_Normal,Nevus
1930_Normal,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1930_Normal.bai': ''},{'1930_Normal.bam': 'f7e221dba5e90359039dff3665bacdbd'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1930_Normal/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1930_Normal/v1,,Normal
1931_Mel,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1931_Mel.bai': ''},{'1931_Mel.bam': '6aa66c045eb4cafe0fb775fed7ac2081'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1931_Mel/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1931_Mel/v1,1930_Normal,Mel
1932_MIS,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1932_MIS.bai': ''},{'1932_MIS.bam': 'ad1e037e922e871411c47e5f5ca00019'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1932_MIS/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1932_MIS/v1,1930_Normal,MIS
1933_Nevus,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1933_Nevus.bai': ''},{'1933_Nevus.bam': '0ea8c6317a8fc77a17f33c3160bfc723'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1933_Nevus/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1933_Nevus/v1,1930_Normal,Nevus
1944_Mel,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1944_Mel.bai': ''},{'1944_Mel.bam': '37e16779cb6a7f834fc858d47b87d0b0'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1944_Mel/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1944_Mel/v1,1946_Normal,Mel
1945_Nevus,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1945_Nevus.bai': ''},{'1945_Nevus.bam': '030490df144072d0dc9d074885768a22'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1945_Nevus/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1945_Nevus/v1,1946_Normal,Nevus
1946_Normal,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1946_Normal.bai': ''},{'1946_Normal.bam': 'ef94aaab7684f72da8027890f41acbc6'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1946_Normal/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1946_Normal/v1,,Normal
1947_Melanocytoma,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1947_Melanocytoma.bai': ''},{'1947_Melanocytoma.bam': '54e5ee26a5522ae3db5681528757ea1c'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1947_Melanocytoma/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1947_Melanocytoma/v1,1949_1956_Normal,Melanocytoma
1948_Nevus,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1948_Nevus.bai': ''},{'1948_Nevus.bam': 'd0aa7b8bc43e05c63f24ddccf43c6bff'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1948_Nevus/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1948_Nevus/v1,1949_1956_Normal,Nevus
1949_1956_Normal,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1949_1956_Normal.bai': ''},{'1949_1956_Normal.bam': 'd2dbcd8ebc4d92317da0db9aaad13945'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1949_1956_Normal/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1949_1956_Normal/v1,,Normal
1951_Mel,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1951_Mel.bai': ''},{'1951_Mel.bam': '3933766ce5276b50d2ccf75660e4dfe1'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1951_Mel/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1951_Mel/v1,1953_Normal,Mel
1952_Nevus,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1952_Nevus.bai': ''},{'1952_Nevus.bam': '1bdae196531e98dce532bb299ef4f77c'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1952_Nevus/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1952_Nevus/v1,1953_Normal,Nevus
1953_Normal,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1953_Normal.bai': ''},{'1953_Normal.bam': 'b0c535b80c8c3dbec10e73fc2ce04859'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1953_Normal/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1953_Normal/v1,,Normal
1954_MIS,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1954_MIS.bai': ''},{'1954_MIS.bam': 'a77c4a5e9d6feb91fc6ad0a7c6f845cc'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1954_MIS/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1954_MIS/v1,1946_Normal,MIS
1955_Normal,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1955_Normal.bai': ''},{'1955_Normal.bam': 'e4e3cd653b4f01026e1eaab0ce259f65'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1955_Normal/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1955_Normal/v1,,Normal
1958_Normal,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1958_Normal.bai': ''},{'1958_Normal.bam': 'be533d987e4e6d2711c68ec74906f06d'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1958_Normal/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1958_Normal/v1,,Normal
2036_Normal,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'2036_Normal.bai': ''},{'2036_Normal.bam': '3d753c392b4db93be9c8a0814397a89c'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/2036_Normal/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/2036_Normal/v1,,Normal
2038_Mel,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'2038_Mel.bai': ''},{'2038_Mel.bam': '19b731462d1844423babc2f2fcf82763'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/2038_Mel/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/2038_Mel/v1,"2041_Normal, 2270_Normal",Mel
2039_Mel,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'2039_Mel.bai': ''},{'2039_Mel.bam': '1445a2373d90a097298e92cf056524d9'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/2039_Mel/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/2039_Mel/v1,"2041_Normal, 2270_Normal",Mel
2040_Mel,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'2040_Mel.bai': ''},{'2040_Mel.bam': '5f47a12082f3b1b8163bc452ab98b0c7'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/2040_Mel/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/2040_Mel/v1,"2041_Normal, 2270_Normal",Mel
2041_Normal,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'2041_Normal.bai': ''},{'2041_Normal.bam': 'b8497dc09e76a224b199a69aa070cd17'},HiSeqData/BCB041_BroadInstitute_WES/2041_Normal/v2,HiSeqData/BCB041_BroadInstitute_WES/2041_Normal/v2,,Normal
2043_Mel,,,BI-082023,Somatic Human WES v6,,BCB060,,,{'2043_Mel.bai': ''},{'2043_Mel.bam': 'bd88722892a2040e0760457cb212959e'},HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2043_Mel/v1,HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2043_Mel/v1,2046_Normal,Mel
2044_Mel,,,BI-082023,Somatic Human WES v6,,BCB060,,,{'2044_Mel.bai': ''},{'2044_Mel.bam': '8c510bb76a2738b1f3493c9ef95ee234'},HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2044_Mel/v1,HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2044_Mel/v1,2046_Normal,Mel
2045_Mel,,,BI-082023,Somatic Human WES v6,,BCB060,,,{'2045_Mel.bai': ''},{'2045_Mel.bam': '19df9a7b1f033b3c2e4945cec11569f5'},HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2045_Mel/v1,HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2045_Mel/v1,2046_Normal,Mel
2046_Normal,,,BI-082023,Somatic Human WES v6,,BCB060,,,{'2046_Normal.bai': ''},{'2046_Normal.bam': '9f89b1828231499c5932788c99a74b47'},HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2046_Normal/v1,HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2046_Normal/v1,,Normal
2047_Mel,,,BI-082023,Somatic Human WES v6,,BCB060,,,{'2047_Mel.bai': ''},{'2047_Mel.bam': '280ddd4f487ec0856168307ec7f3f735'},HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2047_Mel/v1,HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2047_Mel/v1,2050_Normal,Mel
2048_Mel,,,BI-082023,Somatic Human WES v6,,BCB060,,,{'2048_Mel.bai': ''},{'2048_Mel.bam': '56190c1e1fe08995a0541dadf1358743'},HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2048_Mel/v1,HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2048_Mel/v1,2050_Normal,Mel
2049_Mel,,,BI-082023,Somatic Human WES v6,,BCB060,,,{'2049_Mel.bai': ''},{'2049_Mel.bam': 'c94afb7b77beed1fe04f0ef7f494eed2'},HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2049_Mel/v1,HiSeqData/BCB060_BroadInstitute_WES_3/BCB060/Exome/2049_Mel/v1,2050_Normal,Mel
