NA_ID,Area ID,NA_TYPE,Date extracted,Method,Qubit Concentration (ng/ul),Volumn (ul),Amount (ng),Re-extraction amount,Total extracted NA amount (ng),NA sheared/used (ng),Shearing volume DNA input (ul),Volume of TE buffer (ul)  for shearing,SL_ID,Notes,Assigned Projects
AM2 D-33,81 Mel1,DNA,,,48.10,90,4329.0,,4329.0,250.0,5,45,"AMLP-20_1,AMLP-126,AMLP-154,AMLP-195,AMLP-20_2,AMLP-422",,Acral Melanoma
AM2 D-34,82 Normal,DNA,,,116.00,90,10440.0,,10440.0,250.0,2,48,AMLP-21,,Acral Melanoma
AM2 D-35,83 MIS1,DNA,,,6.11,90,549.9,,549.9,250.0,41,9,"AMLP-125,AMLP-129",,Acral Melanoma
AM2 D-36,84 Mel,DNA,,,95.20,90,8568.0,,8568.0,250.0,3,47,"AMLP-22_1,AMLP-130,AMLP-22_2,AMLP-398",,Acral Melanoma
AM2 D-37,12 Normal,DNA,12/20/2017,,29.00,50,1450.0,,1450.0,250.0,9,41,"AMLP-01,AGLP-01",,Acral Melanoma
AM2 D-38,13 MIS1,DNA,12/20/2017,,110.00,50,5500.0,,5500.0,350.0,3,47,"AMLP-29,AMLP-308",,Acral Melanoma
AM2 D-39,14 Mel1,DNA,12/20/2017,,175.60,50,8780.0,,8780.0,250.0,1,49,"AMLP-02,AMLP-376,AGLP-02",,Acral Melanoma
AM2 D-40,15 Normal,DNA,12/20/2017,,54.40,50,2720.0,,2720.0,250.0,5,45,"AMLP-03,AGLP-03",,Acral Melanoma
AM2 D-41,16 MIS1,DNA,12/20/2017,,108.00,50,5400.0,,5400.0,350.0,3,47,AMLP-30,,Acral Melanoma
AM2 D-42,17 Mel1,DNA,12/20/2017,,50.20,50,2510.0,,2510.0,250.0,5,45,"AMLP-04,AGLP-04",,Acral Melanoma
AM2 D-43,18 MIS1,DNA,12/20/2017,,25.60,50,1280.0,,1280.0,350.0,14,36,AMLP-32,,Acral Melanoma
AM2 D-44,19 MIS2,DNA,12/20/2017,,37.80,50,1890.0,,1890.0,350.0,9,41,AMLP-33,,Acral Melanoma
AM2 D-45,20 Normal,DNA,,,1.57,50,78.5,338.00,416.5,338.0,215,-165,AMLP-31,,Acral Melanoma
AM2 D-46,21 Mel1,DNA,,,50.60,50,2530.0,,2530.0,350.0,7,43,AMLP-34,,Acral Melanoma
AM2 D-47,22 Normal,DNA,,,7.12,50,356.0,,356.0,250.0,35,15,AMLP-05,,Acral Melanoma
AM2 D-48,23 Mel1,DNA,,,55.80,50,2790.0,,2790.0,250.0,4,46,AMLP-06,,Acral Melanoma
AM2 D-49,25 Normal,DNA,,,8.48,50,424.0,,424.0,250.0,29,21,AMLP-07,,Acral Melanoma
AM2 D-50,26 MIS1,DNA,,,62.20,50,3110.0,,3110.0,350.0,6,44,AMLP-35,,Acral Melanoma
AM2 D-51,27 Mel1,DNA,,,15.10,50,755.0,,755.0,250.0,17,33,AMLP-08,,Acral Melanoma
AM2 D-52,28 Normal,DNA,,,2.84,50,142.0,,142.0,142.0,50,0,AMLP-09,,Acral Melanoma
AM2 D-53,29 MIS1,DNA,,,28.40,50,1420.0,,1420.0,350.0,12,38,AMLP-36,,Acral Melanoma
AM2 D-54,30 Mel1,DNA,,,20.00,50,1000.0,,1000.0,250.0,13,38,AMLP-10,,Acral Melanoma
AM2 D-55,31 Normal,DNA,,,2.56,50,128.0,1290.00,1418.0,,0,50,AMLP-148,,Acral Melanoma
AM2 D-56,32 MIS,DNA,,,58.00,50,2900.0,,2900.0,350.0,6,44,AMLP-37,,Acral Melanoma
AM2 D-57,33 MIS,DNA,,,43.60,50,2180.0,,2180.0,350.0,8,42,AMLP-38,,Acral Melanoma
AM2 D-58,34 Mel1,DNA,,,58.00,50,2900.0,,2900.0,350.0,6,44,"AMLP-39,AMLP-149",,Acral Melanoma
AM2 D-59,35 Normal,DNA,,,10.10,50,505.0,,505.0,250.0,25,25,"AMLP-11,AMLP-212",,Acral Melanoma
AM2 D-60,36 MIS1,DNA,,,75.60,50,3780.0,,3780.0,350.0,5,45,"AMLP-40,AMLP-213",,Acral Melanoma
AM2 D-61,37 Mel1,DNA,,,102.00,50,5100.0,,5100.0,250.0,2,48,"AMLP-12,AMLP-150",,Acral Melanoma
AM2 D-62,38 Normal,DNA,,,6.14,50,307.0,,307.0,250.0,41,9,AMLP-13,,Acral Melanoma
AM2 D-63,39 MIS1,DNA,,,48.80,50,2440.0,,2440.0,,0,50,,,Acral Melanoma
AM2 D-64,40 MIS2,DNA,,,13.70,50,685.0,,685.0,,0,50,,,Acral Melanoma
AM2 D-65,41 Mel1,DNA,,,60.60,50,3030.0,,3030.0,250.0,4,46,AMLP-14,,Acral Melanoma
AM2 D-66,42 Normal,DNA,,,5.56,50,278.0,,278.0,250.0,45,5,AMLP-15,,Acral Melanoma
AM2 D-67,43 MIS1,DNA,,,5.06,50,253.0,,253.0,,0,50,,,Acral Melanoma
AM2 D-68,44 MIS2,DNA,,,12.50,50,625.0,,625.0,,0,50,,,Acral Melanoma
AM2 D-69,45 Mel1,DNA,,,52.40,50,2620.0,,2620.0,250.0,5,45,"AMLP-16,AMLP-151",,Acral Melanoma
AM2 D-70,46 Normal,DNA,,,7.52,50,376.0,,376.0,250.0,33,17,AMLP-17,,Acral Melanoma
AM2 D-71,47 MIS1,DNA,,,23.40,50,1170.0,,1170.0,,0,50,,,Acral Melanoma
AM2 D-72,,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,not circled on the slide image,Acral Melanoma
AM2 D-73,48 Mel1,DNA,,,35.20,50,1760.0,,1760.0,250.0,7,43,AMLP-18,,Acral Melanoma
AM2 D-74,85 Normal,DNA,,,14.70,50,735.0,,735.0,250.0,17,33,"AMLP-23_1,AMLP-23_2",,Acral Melanoma
AM2 D-75,86 MIS1,DNA,,,58.80,50,2940.0,,2940.0,,0,50,,,Acral Melanoma
AM2 D-76,87 MIS2,DNA,,,49.60,50,2480.0,,2480.0,,0,50,,,Acral Melanoma
AM2 D-77,88 Mel1,DNA,,,74.40,50,3720.0,,3720.0,250.0,3,47,"AMLP-24_1,AMLP-24_2",,Acral Melanoma
AM2 D-78,89 Normal,DNA,,,114.00,50,5700.0,,5700.0,250.0,2,48,AMLP-25,,Acral Melanoma
AM2 D-79,90 MIS1,DNA,,,22.60,50,1130.0,,1130.0,,0,50,,,Acral Melanoma
AM2 D-80,91 Mel1,DNA,,,37.80,50,1890.0,,1890.0,250.0,7,43,AMLP-26,,Acral Melanoma
AM2 D-81,92 Normal,DNA,,,17.60,50,880.0,,880.0,250.0,14,36,AMLP-27,,Acral Melanoma
AM2 D-82,93 MIS1,DNA,,,8.68,50,434.0,,434.0,,0,50,,,Acral Melanoma
AM2 D-83,94 MIS2,DNA,,,15.40,50,770.0,,770.0,,0,50,,,Acral Melanoma
AM2 D-84,95 Mel1,DNA,,,41.60,50,2080.0,,2080.0,250.0,6,44,AMLP-28,,Acral Melanoma
AM2 D-85,96 Mel2,DNA,,,32.60,50,1630.0,,1630.0,,0,50,AMLP-42,,Acral Melanoma
AM2 D-86,24 MIS1,DNA,,,90.00,50,4500.0,,4500.0,350.0,4,46,AMLP-41,,Acral Melanoma
AM2 D-87,97 Normal,DNA,,,116.00,50,5800.0,,5800.0,,0,50,AMLP-43,,Acral Melanoma
AM2 D-88,98 Normal2,DNA,,,164.40,50,8220.0,,8220.0,,0,50,AMLP-44,,Acral Melanoma
AM2 D-89,99 MIS1,DNA,,,5.92,50,296.0,,296.0,,0,50,AMLP-45,,Acral Melanoma
AM2 D-90,100 Mel1,DNA,,,30.40,50,1520.0,,1520.0,1520.0,50,0,"AMLP-46,AMLP-132,AMLP-377",No DNA left over,Acral Melanoma
AM2 D-91,101 Met1,DNA,,,69.40,50,3470.0,,3470.0,,0,50,AMLP-47,,Acral Melanoma
AM2 D-92,102 Met2,DNA,,,15.60,50,780.0,,780.0,,0,50,AMLP-48,,Acral Melanoma
AM2 D-93,103 Normal,DNA,,,33.40,50,1670.0,,1670.0,,0,50,AMLP-49,,Acral Melanoma
AM2 D-94,104 MIS1,DNA,,,8.78,50,439.0,,439.0,,0,50,AMLP-50,,Acral Melanoma
AM2 D-95,105 MIS2,DNA,,,15.40,50,770.0,,770.0,,0,50,AMLP-51,,Acral Melanoma
AM2 D-96,106 Mel1,DNA,,,62.80,50,3140.0,,3140.0,,0,50,"AMLP-52,AMLP-158,AMLP-198",,Acral Melanoma
AM2 D-97,107 Mel2,DNA,,,63.40,50,3170.0,,3170.0,666.0,11,39,"AMLP-53,AMLP-378",,Acral Melanoma
AM2 D-98,108 Met1,DNA,,,91.20,50,4560.0,,4560.0,,0,50,"AMLP-54,AMLP-133",,Acral Melanoma
AM2 D-99,109 Met2,DNA,,,32.20,50,1610.0,,1610.0,,0,50,"AMLP-55,AMLP-379",,Acral Melanoma
AM2 D-100,1 Normal,DNA,7/30/2018,PCI,0.50,50,25.0,,25.0,,0,50,,Qubit conc. <0.50 ng/ul,Acral Melanoma
AM2 D-101,2 Mel1,DNA,7/30/2018,PCI,5.72,50,286.0,,286.0,250.0,44,6,AMLP-56,,Acral Melanoma
AM2 D-102,3 Met1,DNA,7/30/2018,PCI,20.00,50,1000.0,,1000.0,250.0,13,38,AMLP-57,,Acral Melanoma
AM2 D-103,4 Mel1,DNA,7/30/2018,PCI,43.00,50,2150.0,,2150.0,250.0,6,44,AMLP-58,,Acral Melanoma
AM2 D-104,5 Met1,DNA,7/30/2018,PCI,49.80,50,2490.0,,2490.0,250.0,5,45,AMLP-59,,Acral Melanoma
AM2 D-104-1,5 Met1,DNA,3/7/2020,Qiagen FFPE DNA columns,8.47,96,813.1,,813.1,333.0,39,11,AMLP-207,,Acral Melanoma
AM2 D-105,6 Normal,DNA,7/30/2018,PCI,4.84,50,242.0,,242.0,250.0,52,-2,AMLP-60,,Acral Melanoma
AM2 D-106,7 MIS1,DNA,7/30/2018,PCI,0.11,50,5.5,,5.5,,0,50,,,Acral Melanoma
AM2 D-107,8 Met1,DNA,7/30/2018,PCI,108.00,50,5400.0,,5400.0,250.0,2,48,AMLP-61,,Acral Melanoma
AM2 D-108,9 Normal,DNA,7/30/2018,PCI,0.83,50,41.4,,41.4,250.0,302,-252,AMLP-62,,Acral Melanoma
AM2 D-109,10 Mel1,DNA,7/30/2018,PCI,83.00,50,4150.0,,4150.0,250.0,3,47,AMLP-63,,Acral Melanoma
AM2 D-110,11 Met1,DNA,7/30/2018,PCI,30.40,50,1520.0,,1520.0,250.0,8,42,AMLP-64,,Acral Melanoma
