Area_ID,Area,Block_ID,Collection method,Area type,HE image,NA_ID,Completion date,People in charge,Notes,Assigned projects
2365 Cell Line,2365,,,Cell Line,,Xu-030,,Xu Chen,,Melanoma Cell Line
2367 Cell Line,2367,,,Cell Line,,Xu-032,,Xu Chen,,Melanoma Cell Line
2368 Cell Line,2368,,,Cell Line,,Xu-033,,Xu Chen,,Melanoma Cell Line
2370 Cell Line,2370,,,Cell Line,,Xu-035,,Xu Chen,,Melanoma Cell Line
2369 Cell Line,2369,,,Cell Line,,Xu-034,,Xu Chen,,Melanoma Cell Line
2371 Cell Line,2371,,,Cell Line,,Xu-036,,Xu Chen,,Melanoma Cell Line
2373 Cell Line,2373,,,Cell Line,,Xu-038,,Xu Chen,,Melanoma Cell Line
2372 Cell Line,2372,,,Cell Line,,Xu-037,,Xu Chen,,Melanoma Cell Line
2374 Cell Line,2374,,,Cell Line,,Xu-039,,Xu Chen,,Melanoma Cell Line
2375 Cell Line,2375,,,Cell Line,,Xu-040,,Xu Chen,,Melanoma Cell Line
2376 Cell Line,2376,,,Cell Line,,Xu-041,,Xu Chen,,Melanoma Cell Line
2377 Cell Line,2377,,,Cell Line,,Xu-042,,Xu Chen,,Melanoma Cell Line
2378 Cell Line,2378,,,Cell Line,,Xu-043,,Xu Chen,,Melanoma Cell Line
2379 Cell Line,2379,,,Cell Line,,Xu-044,,Xu Chen,,Melanoma Cell Line
2380 Cell Line,2380,,,Cell Line,,Xu-045,,Xu Chen,,Melanoma Cell Line
2381 Cell Line,2381,,,Cell Line,,Xu-046,,Xu Chen,,Melanoma Cell Line
2382 Cell Line,2382,,,Cell Line,,Xu-047,,Xu Chen,,Melanoma Cell Line
2383 Cell Line,2383,,,Cell Line,,Xu-048,,Xu Chen,,Melanoma Cell Line
2384 Cell Line,2384,,,Cell Line,,Xu-049,,Xu Chen,,Melanoma Cell Line
2385 Cell Line,2385,,,Cell Line,,Xu-050,,Xu Chen,,Melanoma Cell Line
2386 Cell Line,2386,,,Cell Line,,Xu-051,,Xu Chen,,Melanoma Cell Line
2388 Cell Line,2388,,,Cell Line,,Xu-053,,Xu Chen,,Melanoma Cell Line
2387 Cell Line,2387,,,Cell Line,,Xu-052,,Xu Chen,,Melanoma Cell Line
2389 Cell Line,2389,,,Cell Line,,Xu-054,,Xu Chen,,Melanoma Cell Line
2390 Cell Line,2390,,,Cell Line,,Xu-055,,Xu Chen,,Melanoma Cell Line
2391 Cell Line,2391,,,Cell Line,,Xu-056,,Xu Chen,,Melanoma Cell Line
2392 Cell Line,2392,,,Cell Line,,Xu-057,,Xu Chen,,Melanoma Cell Line
2394 Cell Line,2394,,,Cell Line,,Xu-059,,Xu Chen,,Melanoma Cell Line
2393 Cell Line,2393,,,Cell Line,,Xu-058,,Xu Chen,,Melanoma Cell Line
2395 Cell Line,2395,,,Cell Line,,Xu-060,,Xu Chen,,Melanoma Cell Line
2396 Cell Line,2396,,,Cell Line,,Xu-061,,Xu Chen,,Melanoma Cell Line
2397 Cell Line,2397,,,Cell Line,,Xu-062,,Xu Chen,,Melanoma Cell Line
2399 Cell Line,2399,,,Cell Line,,Xu-064,,Xu Chen,,Melanoma Cell Line
2398 Cell Line,2398,,,Cell Line,,Xu-063,,Xu Chen,,Melanoma Cell Line
2490 ,2490,,,,,,,,,
2489 ,2489,,,,,,,,,
2760 Uveal Mel,2760,,,Uveal Mel,,UM1_NA,,,"Uveal Melanoma, Dr. Seider",Uveal Melanoma
2761 Uveal Mel,2761,,,Uveal Mel,,UM2_NA,,,"Uveal Melanoma, Dr. Seider",Uveal Melanoma
2781 Tumor,2781,,,Tumor,,SM_2_Tumor_NA,,,,Spitzoid Melanoma
2782 Tumor,2782,,,Tumor,,SM_3_Tumor_NA,,,,Spitzoid Melanoma
2783 Normal,2783,,,Normal,,SM_4_Normal_NA,,,,Spitzoid Melanoma
2784 Tumor,2784,,,Tumor,,SM_4_Tumor_NA,,,,Spitzoid Melanoma
2785 Normal,2785,,,Normal,,SM_5_Normal_NA,,,,Spitzoid Melanoma
2790 Normal,2790,,,Normal,,SM_8_Normal_NA,,,,Spitzoid Melanoma
2795 Tumor,2795,,,Tumor,,SM_10_Tumor_NA,,,,Spitzoid Melanoma
2796 Tumor,2796,,,Tumor,,SM_11_Tumor_NA,,,,Spitzoid Melanoma
2797 Tumor,2797,,,Tumor,,SM_12_Tumor_NA,,,,Spitzoid Melanoma
2799 Tumor,2799,,,Tumor,,SM_16_Tumor_NA,,,,Spitzoid Melanoma
2798 Normal,2798,,,Normal,,SM_16_Normal_NA,,,,Spitzoid Melanoma
2802 Tumor,2802,,,Tumor,,SM7_Tumor_NA,,,,Spitzoid Melanoma
491 nevus or nevus like,491, 12-67286,,nevus or nevus like,,CGH12-280,,Noel/Chenxu,,Nevus Library
1539 MIS1,1539, 14-51352,Scraping,MIS1,,"AM2 D-319,AM2 R-319,AM2 D-473,AM2 R-473",,Noel/Chenxu,,Acral Melanoma
1540 MIS2,1540, 14-51352,Scraping,MIS2,,"AM2 D-320,AM2 R-320,AM2 D-361,AM2 R-361,AM2 D-474,AM2 R-474,AM2 R-507,AM2 D-507",,Noel/Chenxu,,Acral Melanoma
1625 MIS2 In situ,1625, 14-51352,Scraping,MIS2 In situ,,"AM2 D-474,AM2 R-474",,Noel/Chenxu,,Acral Melanoma
2021 Lentiginous Juntional Melanocytic Nevus,2021, 18-00192,Scraping,Lentiginous Juntional Melanocytic Nevus,,"OM-22D,OM-22D-2",,Noel/Chenxu,,Oral Mucosal Melanoma
1856 Normal,1856,00-556A,Scraping,Normal,,"MMR-345,MMD-345",,Noel/Chenxu,,California Cancer Registry
1855 Mel,1855,00-556B,Scraping,Mel,,"MMR-344,MMD-344",,Noel/Chenxu,,California Cancer Registry
1857 MIS,1857,00-556B,Scraping,MIS,,"MMR-346,MMD-346",,Noel/Chenxu,,California Cancer Registry
2715 Tumor,2715,00-001103,,Tumor,,KAM10-T,,,,Acral Melanoma
2750 Normal,2750,00-001103B7,,Normal,,KAM10-N-B7,,,,Acral Melanoma
1847 Mel,1847,00-4845,Scraping,Mel,,"MMD-336,MMR-336",,Noel/Chenxu,,California Cancer Registry
1848 Normal,1848,00-4845,Scraping,Normal,,"MMD-337,MMR-337",,Noel/Chenxu,,California Cancer Registry
1820 Mel,1820,00-5989A2,Scraping,Mel,,"MMD-240,MMD-289,MMR-240",,Noel/Chenxu,,California Cancer Registry
1821 Normal,1821,00-5989A2,Scraping,Normal,,"MMD-241,MMD-290",,Noel/Chenxu,,California Cancer Registry
1098 Mel,1098,00-06521-B T3,,Mel,,MDD-186,,Noel/Chenxu,,Melanoma Prognosis
1769 Mel,1769,00-7684A2,Scraping,Mel,,"MMR-177,MMD-177",,Noel/Chenxu,,California Cancer Registry
936 Mel,936,00-09653-C M1,,Mel,,MDD-66,,,,Melanoma Prognosis
937 Mel,937,00-11793-E M1,,Mel,,MDD-67,,,,Melanoma Prognosis
1099 Mel,1099,00-12952-3 T2,,Mel,,MDD-187,,Noel/Chenxu,,Melanoma Prognosis
1645 Mel,1645,00-14127B,Scraping,Mel,,"MMD-20,MMR-20",,Noel/Chenxu,,California Cancer Registry
938 Mel,938,00-15034-1B M1,,Mel,,MDD-68,,,,Melanoma Prognosis
1100 Mel,1100,00-15364 T2,,Mel,,MDD-188,,Noel/Chenxu,,Melanoma Prognosis
1027 Mel,1027,00-16651-B T1,,Mel,,MDD-115,,Noel/Chenxu,,Melanoma Prognosis
632 Mel,632,00-21551T3,,Mel,,MDD-01,,,,Melanoma Prognosis
1033 Mel,1033,00-23160-D T1,,Mel,,MDD-121,,Noel/Chenxu,,Melanoma Prognosis
1097 Mel,1097,00-24216-D T4,,Mel,,MDD-185,,Noel/Chenxu,,Melanoma Prognosis
1767 Mel,1767,00-26584A1,Scraping,Mel,,"MMD-175,MMR-175",,Noel/Chenxu,,California Cancer Registry
1768 Normal,1768,00-26584A1,Scraping,Normal,,MMD-176,,Noel/Chenxu,,California Cancer Registry
972 Mel,972,00-27758-D M1,,Mel,,MDD-102,,,,Melanoma Prognosis
633 Mel,633,01-00027T1,,Mel,,MDD-02,,,,Melanoma Prognosis
971 Mel,971,01-00467-B N1,,Mel,,MDD-101,,,,Melanoma Prognosis
1095 Mel,1095,01-1112 T2,,Mel,,MDD-183,,Noel/Chenxu,,Melanoma Prognosis
2730 Tumor,2730,01-003845,,Tumor,,KAM14-T,,,,Acral Melanoma
1765 Mel,1765,01-6748,Scraping,Mel,,"MMD-173,MMR-173,MMD-315",,Noel/Chenxu,,California Cancer Registry
1766 Normal,1766,01-6748,Scraping,Normal,,"MMD-174,MMD-316",,Noel/Chenxu,,California Cancer Registry
634 Mel,634,01-07957T4,,Mel,,MDD-03,,,,Melanoma Prognosis
1076 Mel,1076,01-10208-A T1,,Mel,,MDD-164,,Noel/Chenxu,,Melanoma Prognosis
1947 Melanocytoma,1947,01-10896,,Melanocytoma,,"DNA-190,RNA-190,DNA-234,DNA-247,RNA-234,RNA-247",,Noel/Chenxu,,Melanoma Epigenetics
1948 Nevus,1948,01-10896,,Nevus,,"DNA-191,RNA-191,DNA-235,RNA-235",,Noel/Chenxu,,Melanoma Epigenetics
1949 Normal,1949,01-10896,,Normal,,"DNA-192,RNA-192,DNA-236",,Noel/Chenxu,,Melanoma Epigenetics
1803 Mel,1803,01-11378A2,Scraping,Mel,,"MMD-223,MMR-223",,Noel/Chenxu,,California Cancer Registry
1804 Normal,1804,01-11378A2,Scraping,Normal,,MMD-224,,Noel/Chenxu,,California Cancer Registry
1053 Mel,1053,01-15780-R T1,,Mel,,MDD-141,,Noel/Chenxu,,Melanoma Prognosis
1693 Mel,1693,01-16263,Scraping,Mel,,"MMR-89,MMD-89",,Noel/Chenxu,,California Cancer Registry
1694 MIS,1694,01-16263,Scraping,MIS,,"MMR-90,MMD-90",,Noel/Chenxu,,California Cancer Registry
1096 Mel,1096,01-17200 T3,,Mel,,MDD-184,,Noel/Chenxu,,Melanoma Prognosis
1657 Mel,1657,01-18107A,Scraping,Mel,,"MMD-37,MMR-37",,Noel/Chenxu,,California Cancer Registry
635 Mel,635,01-20248T3,,Mel,,MDD-04,,,,Melanoma Prognosis
1094 Mel,1094,01-26615-B T2,,Mel,,MDD-182,,Noel/Chenxu,,Melanoma Prognosis
1851 Mel,1851,01-34127A,Scraping,Mel,,"MMD-340,MMR-340",,Noel/Chenxu,,California Cancer Registry
1852 Normal,1852,01-34127B,Scraping,Normal,,"MMR-341,MMD-341",,Noel/Chenxu,,California Cancer Registry
2732 Tumor,2732,02-000540,,Tumor,,KAM3-T-A,,,,Acral Melanoma
974 Mel,974,02-00594-E M1,,Mel,,MDD-104,,,,Melanoma Prognosis
2254 Tumor,2254,02-1274B1,,Tumor,,MM-4,7/19/2019,,Metastatic,Hockemeyer Melanoma Project
2756 MVP,2756,02-5203B2,,MVP,,JBU7-MVP,,,,
2755 Normal,2755,02-5203G2,,Normal,,JBU7-Norm,,,,
1652 Mel,1652,02-5600A,Scraping,Mel,,"MMD-32,MMR-32,MMD-61",,Noel/Chenxu,,California Cancer Registry
1023 Mel,1023,02-05776-D T1,,Mel,,MDD-111,,Noel/Chenxu,,Melanoma Prognosis
636 Mel,636,02-05776T1,,Mel,,MDD-05,,,,Melanoma Prognosis
1641 Mel,1641,02-7356,Scraping,Mel,,"MMR-16,MMD-16,MMD-24,MMR-24,DNA-199,DNA-242,RNA-242,RNA-199",,Noel/Chenxu,"Blue: melanoma; Green: normal: Yellow: Nevus. http://64.54.108.147/eSlideTray.php?ImageIds=22989,22990,22991,22992  http://64.54.108.147/eSlideTray.php?ImageIds=21403
",California Cancer Registry
1642 Nevus,1642,02-7356,Scraping,Nevus,,"MMR-17,MMD-17,DNA-200,DNA-243,RNA-243,RNA-200,DNA-254,RNA-254",,Noel/Chenxu,"Blue: melanoma; Green: normal: Yellow: Nevus. http://64.54.108.147/eSlideTray.php?ImageIds=22989,22990,22991,22992  http://64.54.108.147/eSlideTray.php?ImageIds=21403
",California Cancer Registry
1956 Normal,1956,02-7356,,Normal,,"DNA-201,DNA-244,RNA-244,DNA-255",,Noel/Chenxu,Blue: melanoma; Green: normal: Yellow: Nevus.,Melanoma Epigenetics
2723 Tumor,2723,02-008514,,Tumor,,KAM123-T,,,,Acral Melanoma
1646 Mel,1646,02-8746A,Scraping,Mel,,"MMD-21,MMD-26,MMR-21,MMR-26",,Noel/Chenxu,,California Cancer Registry
1647 Mel,1647,02-8746B,Scraping,Mel,,"MMD-22,MMD-27,MMR-22,MMR-27",,Noel/Chenxu,,California Cancer Registry
939 Mel,939,02-11468-D M1,,Mel,,MDD-69,,,,Melanoma Prognosis
2716 Normal,2716,02-012396A,,Normal,,KAM100-N,,,,Acral Melanoma
942 Mel,942,02-16325-B M1,,Mel,,MDD-72,,,,Melanoma Prognosis
973 Mel,973,02-16797-C M1,,Mel,,MDD-103,,,,Melanoma Prognosis
1091 Mel,1091,02-17209-C T2,,Mel,,MDD-179,,Noel/Chenxu,,Melanoma Prognosis
1665 Mel,1665,02-17626,Scraping,Mel,,"MMR-44,MMD-63,MMD-44",,Noel/Chenxu,,California Cancer Registry
2717 Tumor,2717,02-020334-11,,Tumor,,KAM100-T-11,,,,Acral Melanoma
1093 Mel,1093,02-20495-B T2,,Mel,,MDD-181,,Noel/Chenxu,,Melanoma Prognosis
1724 Mel,1724,02-20619B,Scraping,Mel,,"MMD-129,MMR-129,MMD-217",,Noel/Chenxu,,California Cancer Registry
1725 Normal,1725,02-20619B,Scraping,Normal,,MMD-130,,Noel/Chenxu,,California Cancer Registry
1726 MIS,1726,02-20619B,Scraping,MIS,,"MMD-131,MMR-131,MMD-218",,Noel/Chenxu,,California Cancer Registry
1090 Mel,1090,02-20732-T2,,Mel,,MDD-178,,Noel/Chenxu,,Melanoma Prognosis
941 Mel,941,02-22662-B M1,,Mel,,MDD-71,,,,Melanoma Prognosis
940 Mel,940,02-22843 M1,,Mel,,MDD-70,,,,Melanoma Prognosis
1089 Mel,1089,02-26442-T4,,Mel,,MDD-177,,Noel/Chenxu,,Melanoma Prognosis
1092 Mel,1092,02-28682 T4,,Mel,,MDD-180,,Noel/Chenxu,,Melanoma Prognosis
1666 Mel,1666,02-28807,Scraping,Mel,,"MMD-45,MMR-45",,Noel/Chenxu,,California Cancer Registry
2774 Tumor,2774,02-42436,,Tumor,,AM_14_Tumor_NA,,,,Acral Melanoma
1660 Mel,1660,02-49261,Scraping,Mel,,"MMD-40,MMD-56,MMR-56,MMR-40",,Noel/Chenxu,,California Cancer Registry
2255 Tumor,2255,02-49261,,Tumor,,PM-1,7/19/2019,,Primary Tumor,Hockemeyer Melanoma Project
2754 MVP,2754,03-197 B2,,MVP,,JBU11-MVP,,,,
2753 Normal,2753,03-1978B3,,Normal,,JBU11-Norm,,,,
1770 Mel,1770,03-3075A,Scraping,Mel,,"MMD-178,MMR-178",,Noel/Chenxu,,California Cancer Registry
1773 Normal,1773,03-3075A,Scraping,Normal,,MMD-180,,Noel/Chenxu,,California Cancer Registry
1771 Mel,1771,03-3075B,Scraping,Mel,,"MMD-178,MMR-178",,Noel/Chenxu,,California Cancer Registry
1772 MIS,1772,03-3075B,Scraping,MIS,,"MMD-179,MMR-179",,Noel/Chenxu,,California Cancer Registry
943 Mel,943,03-04925-E M1,,Mel,,MDD-73,,,,Melanoma Prognosis
2741 Tumor,2741,03-007239,,Tumor,,KAM79-T,,,,Acral Melanoma
1088 Mel,1088,03-08311-E T2,,Mel,,MDD-176,,Noel/Chenxu,,Melanoma Prognosis
1085 Mel,1085,03-15183-D T1,,Mel,,MDD-173,,Noel/Chenxu,,Melanoma Prognosis
944 Mel,944,03-16198-1C M1,,Mel,,MDD-74,,,,Melanoma Prognosis
1714 Normal,1714,03-16497A,Scraping,Normal,,"MMD-122,MMD-296",,Noel/Chenxu,,California Cancer Registry
1715 Mel,1715,03-16497B,Scraping,Mel,,"MMD-121,MMR-121",,Noel/Chenxu,,California Cancer Registry
1716 MIS,1716,03-16497B,Scraping,MIS,,"MMD-123,MMR-123,MMD-297",,Noel/Chenxu,,California Cancer Registry
1086 Mel,1086,03-17395-J T2,,Mel,,MDD-174,,Noel/Chenxu,,Melanoma Prognosis
1084 Mel,1084,03-19080-C T1,,Mel,,MDD-172,,Noel/Chenxu,,Melanoma Prognosis
1022 Mel,1022,03-19132-B T1,,Mel,,MDD-110,,Noel/Chenxu,,Melanoma Prognosis
1079 Mel,1079,03-19132-B T1,,Mel,,MDD-167,,Noel/Chenxu,,Melanoma Prognosis
1083 Mel,1083,03-21273-1G T1,,Mel,,MDD-171,,Noel/Chenxu,,Melanoma Prognosis
1080 Mel,1080,03-22623-A T1,,Mel,,MDD-168,,Noel/Chenxu,,Melanoma Prognosis
1081 Mel,1081,03-23238-B T2,,Mel,,MDD-169,,Noel/Chenxu,,Melanoma Prognosis
1827 Normal,1827,03-24651,Scraping,Normal,,MMD-243,,Noel/Chenxu,,California Cancer Registry
1826 Mel,1826,03-24651,Scraping,Mel,,"MMD-242,MMR-242",,Noel/Chenxu,,California Cancer Registry
1087 Mel,1087,03-24659-2 T2,,Mel,,MDD-175,,Noel/Chenxu,,Melanoma Prognosis
976 Mel,976,03-26518-B M1,,Mel,,MDD-106,,,,Melanoma Prognosis
637 Mel,637,03-26518T1,,Mel,,MDD-06,,,,Melanoma Prognosis
1854 Normal,1854,03-29330A,Scraping,Normal,,"MMD-343,MMR-343",,Noel/Chenxu,,California Cancer Registry
1853 Mel,1853,03-29330B,Scraping,Mel,,"MMR-342,MMD-342",,Noel/Chenxu,,California Cancer Registry
1860 MIS,1860,03-30961A,Scraping,MIS,,"MMR-349,MMD-349",,Noel/Chenxu,,California Cancer Registry
1858 Mel,1858,03-30961B,Scraping,Mel,,"MMR-347,MMD-347",,Noel/Chenxu,,California Cancer Registry
1859 Normal,1859,03-30961B,Scraping,Normal,,"MMD-348,MMR-348",,Noel/Chenxu,,California Cancer Registry
2773 Tumor,2773,03-34051A1,,Tumor,,AM_13_Tumor_NA,,,,Acral Melanoma
1721 Mel,1721,03-39293,Scraping,Mel,,"MMD-126,MMR-126",,Noel/Chenxu,,California Cancer Registry
1722 Normal,1722,03-39293,Scraping,Normal,,"MMD-127,MMD-215,MMD-300",,Noel/Chenxu,,California Cancer Registry
1723 MIS,1723,03-39293,Scraping,MIS,,"MMD-128,MMR-128,MMD-216,MMR-216,MMD-301,MMR-301",,Noel/Chenxu,,California Cancer Registry
1713 Mel,1713,03-44586,Scraping,Mel,,"MMR-120,MMD-120",,Noel/Chenxu,,California Cancer Registry
1707 Mel,1707,03-47623B,Scraping,Mel,,"MMD-115,MMR-115",,Noel/Chenxu,,California Cancer Registry
1944 Mel,1944,03-57215B,,Mel,,"DNA-187,RNA-187,DNA-230,RNA-230",,Noel/Chenxu,,Melanoma Epigenetics
1946 Normal,1946,03-57215B,,Normal,,"DNA-189,RNA-189,DNA-232",,Noel/Chenxu,,Melanoma Epigenetics
1945 Nevus,1945,03-57215B,,Nevus,,"DNA-188,RNA-188,DNA-231,RNA-231",,Noel/Chenxu,,Melanoma Epigenetics
1954 MIS,1954,03-57215B,,MIS,,"RNA-197,DNA-197,DNA-233,RNA-233",,Noel/Chenxu,,Melanoma Epigenetics
1695 Mel,1695,03-57585A,Scraping,Mel,,"MMD-91,MMR-91",,Noel/Chenxu,,California Cancer Registry
1696 Normal,1696,03-57585A,Scraping,Normal,,MMD-92,,Noel/Chenxu,,California Cancer Registry
1697 Mel,1697,03-57585C,Scraping,Mel,,"MMD-91,MMR-91",,Noel/Chenxu,,California Cancer Registry
1698 Normal,1698,03-57585E,Scraping,Normal,,MMD-92,,Noel/Chenxu,,California Cancer Registry
555 Nodular Mel,555,03B12175 (eppendorf),,Nodular Mel,,NM D-05,,,,Nodular Melanoma
945 Mel,945,04-00065-6 M1,,Mel,,MDD-75,,,,Melanoma Prognosis
1065 Mel,1065,04-00122-C T1,,Mel,,MDD-153,,Noel/Chenxu,,Melanoma Prognosis
946 Mel,946,04-01241-G M1,,Mel,,MDD-76,,,,Melanoma Prognosis
1078 Mel,1078,04-01809-E T4,,Mel,,MDD-166,,Noel/Chenxu,,Melanoma Prognosis
639 Mel,639,04-01809T4,,Mel,,MDD-08,,,,Melanoma Prognosis
1077 Mel,1077,04-02031-D T1,,Mel,,MDD-165,,Noel/Chenxu,,Melanoma Prognosis
1075 Mel,1075,04-03311-H T2,,Mel,,MDD-163,,Noel/Chenxu,,Melanoma Prognosis
1073 Mel,1073,04-03547-G T1,,Mel,,MDD-161,,Noel/Chenxu,,Melanoma Prognosis
2722 Tumor,2722,04-003736A,,Tumor,,KAM122-T-A,,,,Acral Melanoma
1074 Mel,1074,04-05355-B T4,,Mel,,MDD-162,,Noel/Chenxu,,Melanoma Prognosis
640 Mel,640,04-05355T4,,Mel,,MDD-09,,,,Melanoma Prognosis
1701 Mel,1701,04-6689B,Scraping,Mel,,"MMR-98,MMD-98",,Noel/Chenxu,,California Cancer Registry
1702 Normal,1702,04-6689B,Scraping,Normal,,MMD-99,,Noel/Chenxu,,California Cancer Registry
1703 MIS,1703,04-6689B,Scraping,MIS,,"MMR-100,MMD-100",,Noel/Chenxu,,California Cancer Registry
1060 Mel,1060,04-08148-D T1,,Mel,,MDD-148,,Noel/Chenxu,,Melanoma Prognosis
1066 Mel,1066,04-11144-C T1,,Mel,,MDD-154,,Noel/Chenxu,,Melanoma Prognosis
1850 Normal,1850,04-12137A,Scraping,Normal,,MMD-339,,Noel/Chenxu,,California Cancer Registry
1849 Mel,1849,04-12137D,Scraping,Mel,,"MMD-338,MMR-338",,Noel/Chenxu,"04-12137D, 04-12137E",California Cancer Registry
1072 Mel,1072,04-13171-C T1,,Mel,,MDD-160,,Noel/Chenxu,,Melanoma Prognosis
1071 Mel,1071,04-13607 T1,,Mel,,MDD-159,,Noel/Chenxu,,Melanoma Prognosis
1067 Mel,1067,04-14508-C T1,,Mel,,MDD-155,,Noel/Chenxu,,Melanoma Prognosis
1064 Mel,1064,04-14677 T1,,Mel,,MDD-152,,Noel/Chenxu,,Melanoma Prognosis
1741 Mel,1741,04-14908A,Scraping,Mel,,"MMD-149,MMR-149,MMD-311",,Noel/Chenxu,"04-14908A, 04-14908",California Cancer Registry
1742 Normal,1742,04-14908A,Scraping,Normal,,"MMD-150,MMD-312",,Noel/Chenxu,"04-14908A, 04-14908",California Cancer Registry
1639 Mel,1639,04-15284,Scraping,Mel,,"MMR-14,MMD-14,MMD-23,MMR-23",,Noel/Chenxu,,California Cancer Registry
1068 Mel,1068,04-15616-C T2,,Mel,,MDD-156,,Noel/Chenxu,,Melanoma Prognosis
1070 Mel,1070,04-15689-C T1,,Mel,,MDD-158,,Noel/Chenxu,,Melanoma Prognosis
1069 Mel,1069,04-17745-B T1,,Mel,,MDD-157,,Noel/Chenxu,,Melanoma Prognosis
1632 Mel,1632,04-18467,Scraping,Mel,,"MMD-07,MMR-07",,Noel/Chenxu,,California Cancer Registry
1063 Mel,1063,04-18775-B T1,,Mel,,MDD-151,,Noel/Chenxu,,Melanoma Prognosis
977 Mel,977,04-20471-E M1,,Mel,,MDD-107,,,,Melanoma Prognosis
947 Mel,947,04-21305-4 M1,,Mel,,MDD-77,,,,Melanoma Prognosis
1061 Mel,1061,04-22191-D T1,,Mel,,MDD-149,,Noel/Chenxu,,Melanoma Prognosis
1717 Mel,1717,04-25639A,Scraping,Mel,,"MMD-124,MMR-124,MMD-298",,Noel/Chenxu,,California Cancer Registry
1718 Normal,1718,04-25639A,Scraping,Normal,,"MMD-125,MMD-299",,Noel/Chenxu,,California Cancer Registry
1719 Mel,1719,04-25639B,Scraping,Mel,,"MMD-124,MMR-124,MMD-298",,Noel/Chenxu,,California Cancer Registry
1720 Normal,1720,04-25639B,Scraping,Normal,,"MMD-125,MMD-299",,Noel/Chenxu,,California Cancer Registry
1712 Mel,1712,04-28340,Scraping,Mel,,"MMD-119,MMR-119",,Noel/Chenxu,,California Cancer Registry
638 Mel,638,04-28824T2,,Mel,,"MDD-07,MDD-135",,,,Melanoma Prognosis
1669 Mel,1669,04-31313A,Scraping,Mel,,"MMD-48,MMD-65,MMR-48",,Noel/Chenxu,,California Cancer Registry
1670 Normal,1670,04-31313A,Scraping,Normal,,MMD-49,,Noel/Chenxu,,California Cancer Registry
1671 MIS,1671,04-31313A,Scraping,MIS,,"MMD-50,MMD-66,MMR-50",,Noel/Chenxu,,California Cancer Registry
1922 Nevus,1922,04-34117,,Nevus,,"DNA-165,RNA-165,DNA-208,RNA-208",,Noel/Chenxu,,Melanoma Epigenetics
